"DRS_ID","OwnerSuppliedName","Geographic Scope","URN","HOLLIS","SEQUENCE","MAP"
18833852,"G1059_W57_1654_pf_sh1","World","urn-3:FHCL:4455841","012543622",,
18833853,"G1059_W57_1654_pf_sh10","Southwestern Africa","urn-3:FHCL:4455842","009421309",,
18833854,"G1059_W57_1654_pf_sh11","Southeastern Asia","urn-3:FHCL:4455843","009422046",,
18833855,"G1059_W57_1654_pf_sh12","Eastern Brazil","urn-3:FHCL:4455844","009421526",,
18833856,"G1059_W57_1654_pf_sh13","Atlantic Ocean","urn-3:FHCL:4455845","009421488",,
18833857,"G1059_W57_1654_pf_sh14","Gulf of Mexico and Caribbean","urn-3:FHCL:4455846","009421453",,
18833858,"G1059_W57_1654_pf_sh2","North Sea","urn-3:FHCL:4455847","009422842",,
18833859,"G1059_W57_1654_pf_sh3","Baltic Sea","urn-3:FHCL:4455848","009422742",,
18833860,"G1059_W57_1654_pf_sh4","Spitsbergen","urn-3:FHCL:4455849","009422561",,
18833861,"G1059_W57_1654_pf_sh5","Ireland, Scotland, and England","urn-3:FHCL:4455850","009422384",,
18833862,"G1059_W57_1654_pf_sh6","Ireland, Scotland, and Western England","urn-3:FHCL:4455851","009422348",,
18833863,"G1059_W57_1654_pf_sh7","Western France, Spain, and Portugal","urn-3:FHCL:4455852","009421657",,
18833864,"G1059_W57_1654_pf_sh8_MAPA","Western Mediterranean","urn-3:FHCL:4455853","009421824",,"MAPA"
18833864,"G1059_W57_1654_pf_sh8_MAPB","Eastern Mediterranean","urn-3:FHCL:4455853","009421824",,"MAPB"
18833865,"G1059_W57_1654_pf_sh9","Northwestern Africa","urn-3:FHCL:4455854","009421619",,
18833867,"G1059_W57_1654_pf_sh15","Eastern North America","urn-3:FHCL:4455856","009692883",,
43356221,"007186903_0046","Europe","urn-3:FHCL:8645143","007186903",46,
43356224,"007186903_0049","Northwest Netherlands","urn-3:FHCL:8645146","007186903",49,
43356227,"007186903_0052","Southwest Netherlands","urn-3:FHCL:8645149","007186903",52,
43356230,"007186903_0055","Calais and English Channel","urn-3:FHCL:8645152","007186903",55,
43356233,"007186903_0058","Jersey and Guernsey","urn-3:FHCL:8645155","007186903",58,
43356236,"007186903_0061","Saint-Brieuc and Vicinity","urn-3:FHCL:8645158","007186903",61,
43356239,"007186903_0064","Celtic Sea","urn-3:FHCL:8645161","007186903",64,
43356242,"007186903_0067","Bay of Biscay/Saint-Nazaire","urn-3:FHCL:8645164","007186903",67,
43356245,"007186903_0070","Bay of Biscay/La Rochelle","urn-3:FHCL:8645167","007186903",70,
43356248,"007186903_0073","Bay of Biscay/Bilbao","urn-3:FHCL:8645170","007186903",73,
43356251,"007186903_0076","Bay of Biscay/Santander","urn-3:FHCL:8645173","007186903",76,
43356254,"007186903_0079","Bay of Biscay/Gijon","urn-3:FHCL:8645176","007186903",79,
43356257,"007186903_0082","Bay of Biscay/Ribadeo","urn-3:FHCL:8645179","007186903",82,
43356260,"007186903_0085","Northwest Spain","urn-3:FHCL:8645182","007186903",85,
43356263,"007186903_0088","Vigo and Vicinity","urn-3:FHCL:8645185","007186903",88,
43356266,"007186903_0091","Vila do Conde and Vicinity","urn-3:FHCL:8645188","007186903",91,
43356269,"007186903_0094","Lisbon and Vicinity","urn-3:FHCL:8645191","007186903",94,
43356272,"007186903_0097","Southern Portugal","urn-3:FHCL:8645194","007186903",97,
43356275,"007186903_0100","Cadiz and Vicinity","urn-3:FHCL:8645197","007186903",100,
43356278,"007186903_0103","Bristol and Vicinity","urn-3:FHCL:8645200","007186903",103,
43356283,"007186903_0108","Southwest England","urn-3:FHCL:8645205","007186903",108,
43356286,"007186903_0111","Exeter and Vicinity","urn-3:FHCL:8645208","007186903",111,
43356289,"007186903_0114","Portsmouth and Vicinity","urn-3:FHCL:8645211","007186903",114,
43356292,"007186903_0117","Colchester and Vicinity","urn-3:FHCL:8645214","007186903",117,
43356295,"007186903_0120","Great Yarmouth and Vicinity","urn-3:FHCL:8645217","007186903",120,
43356298,"007186903_0123","Hull and Vicinity","urn-3:FHCL:8645220","007186903",123,
43356301,"007186903_0126","New Castle Upon Tyne and Vicinity","urn-3:FHCL:8645223","007186903",126,
43356304,"007186903_0129","Edinburgh and Vicinity","urn-3:FHCL:8645226","007186903",129,
43356307,"007186903_0132","Bergen and Stavanger","urn-3:FHCL:8645229","007186903",132,
43356310,"007186903_0135","Kristiansand and Vicinity","urn-3:FHCL:8645232","007186903",135,
43356313,"007186903_0138","Oslo and Vicinity","urn-3:FHCL:8645235","007186903",138,
