DRS_ID	OwnerSuppliedName	Geographic Scope	URN
36673301	001644159-METS	XML Mets file	urn-3:FHCL:5347094
36673362	001644159_0061	Netherlands	urn-3:FHCL:5347155
36673369	001644159_0068	Netherlands	urn-3:FHCL:5347162
36673372	001644159_0071	Western Holland	urn-3:FHCL:5347165
36673389	001644159_0088	Northwestern France and English Channel	urn-3:FHCL:5347182
36673396	001644159_0095	Bretagne, Guernsey, and Jersey	urn-3:FHCL:5347189
36673407	001644159_0106	Western France and Northern Bay of Biscay	urn-3:FHCL:5347200
36673414	001644159_0113	Western France and Bay of Biscay	urn-3:FHCL:5347207
36673421	001644159_0120	Northern Spain and Bay of Biscay	urn-3:FHCL:5347214
36673426	001644159_0125	Galicia	urn-3:FHCL:5347219
36673433	001644159_0132	Galicia and Portugal	urn-3:FHCL:5347226
36673440	001644159_0139	Lisbon and Vicinity	urn-3:FHCL:5347233
36673445	001644159_0144	Strait of Gibraltar	urn-3:FHCL:5347238
36673450	001644159_0149	Western Coast of Morocco	urn-3:FHCL:5347243
36673451	001644159_0150	Southwestern Coast of Morocco	urn-3:FHCL:5347244
36673456	001644159_0155	Canary Islands	urn-3:FHCL:5347249
36673457	001644159_0156_MAPA	Madeira and Porto Santo	urn-3:FHCL:5347250
36673457	001644159_0156_MAPB	Angra and Azores	urn-3:FHCL:5347250
36673457	001644159_0156_MAPC	Ponta Delgada and St. Michael's	urn-3:FHCL:5347250
36673466	001644159_0165	Southeastern Ireland	urn-3:FHCL:5347259
36673471	001644159_0170	Bristol, Pembroke, and Vicinity	urn-3:FHCL:5347264
36673476	001644159_0175	Plymouth and English Channel	urn-3:FHCL:5347269
36673487	001644159_0186	English Channel	urn-3:FHCL:5347280
36673498	001644159_0197	Northern Netherlands	urn-3:FHCL:5347291
36673515	001644159_0214	Elbe River and Vicinity	urn-3:FHCL:5347308
36673522	001644159_0221	Western Denmark	urn-3:FHCL:5347315
36673529	001644159_0228	Eastern Denmark	urn-3:FHCL:5347322
36673534	001644159_0233	Denmark and Germany	urn-3:FHCL:5347327
36673541	001644159_0240	Northern Coast of Poland	urn-3:FHCL:5347334
36673546	001644159_0245	Gulf of Riga	urn-3:FHCL:5347339
36673555	001644159_0254	Gulf of Finland	urn-3:FHCL:5347348
36673560	001644159_0259	Southeastern Sweden	urn-3:FHCL:5347353
36673567	001644159_0266	Kattegat	urn-3:FHCL:5347360
36673576	001644159_0275	Skaggerak	urn-3:FHCL:5347369
36673583	001644159_0282	Southwestern Coast of Norway	urn-3:FHCL:5347376
36673588	001644159_0287	Western Coast of Norway	urn-3:FHCL:5347381
36673593	001644159_0292	Northern Norway	urn-3:FHCL:5347386
36673598	001644159_0297	Barents Sea	urn-3:FHCL:5347391
36673601	001644159_0300	Kola River	urn-3:FHCL:5347394
36673606	001644159_0305	White Sea	urn-3:FHCL:5347399
36673611	001644159_0310_MAPA	Shetland Islands	urn-3:FHCL:5347404
36673611	001644159_0310_MAPB	Faroe Islands	urn-3:FHCL:5347404
36673616	001644159_0315	Hebrides	urn-3:FHCL:5347409
36673619	001644159_0318	Eastern Coast of Scotland	urn-3:FHCL:5347412
36673624	001644159_0323	Eastern Coast of England	urn-3:FHCL:5347417
36673629	001644159_0328	Southeastern Coast of England	urn-3:FHCL:5347422
