DRS_ID	OwnerSuppliedName	Geographic Scope	URN
44717841	013319662_v3-METS	XML METS file	urn-3:FHCL:9696194
44717870	013319662_v3_0030	Eastern Mediterranean	urn-3:FHCL:9696223
44717871	013319662_v3_0038	Sardinia and Corsica	urn-3:FHCL:9696224
44717872	013319662_v3_0040	Southern Adriatic Sea	urn-3:FHCL:9696225
44717873	013319662_v3_0044	Antioch and Vicinity	urn-3:FHCL:9696226
44717874	013319662_v3_0048	Northern Coast of Algeria	urn-3:FHCL:9696227
44717875	013319662_v3_0049	Soutwestern Portugal	urn-3:FHCL:9696228
44717876	013319662_v3_0050	Northern Portugal	urn-3:FHCL:9696229
44717877	013319662_v3_0051	Western Coast of Spain	urn-3:FHCL:9696230
44717878	013319662_v3_0054	Bay of Biscay	urn-3:FHCL:9696231
44717879	013319662_v3_0055	Northern Bay of Biscay	urn-3:FHCL:9696232
44717880	013319662_v3_0058	English Channel and Isle of Wight	urn-3:FHCL:9696233
44717881	013319662_v3_0060	Corvo, Azores	urn-3:FHCL:9696234
44717882	013319662_v3_0061	English Channel and Calais/Brighton	urn-3:FHCL:9696235
44717883	013319662_v3_0062	Southeastern England	urn-3:FHCL:9696236
44717884	013319662_v3_0063	English Coast from Flamborough to Orton	urn-3:FHCL:9696237
44717885	013319662_v3_0064	English Coast from Berwick-upon-Tweed to Filey	urn-3:FHCL:9696238
44717886	013319662_v3_0065	Scottish Coast from Edinburgh to Kinloss	urn-3:FHCL:9696239
44717887	013319662_v3_0066	Northern Scotland	urn-3:FHCL:9696240
44717888	013319662_v3_0071	Polish Coast from Kolobrzeg to Kaliningrad	urn-3:FHCL:9696241
44717889	013319662_v3_0073	Gulf of Riga	urn-3:FHCL:9696242
44717890	013319662_v3_0075	Gulf of Bothnia	urn-3:FHCL:9696243
44717891	013319662_v3_0076	Southern Coast of Norway	urn-3:FHCL:9696244
44717892	013319662_v3_0078	Northern Coast of Norway and Lapland	urn-3:FHCL:9696245
44717893	013319662_v3_0085	Northern Labrador and Southern Greenland	urn-3:FHCL:9696246
44717900	013319662_v3_0100	Western Coast of Africa from Libreville to Namibe	urn-3:FHCL:9696253
