DRS_ID	OwnerSuppliedName	Geographic Scope	URN
43607111	006848674_v002_0009	Western Coasts of Europe and Africa	urn-3:FHCL:8822222
43607112	006848674_v002_0010	North Sea	urn-3:FHCL:8822223
43607115	006848674_v002_0013	Western Netherlands	urn-3:FHCL:8822226
43607118	006848674_v002_0016	Rotterdam and Vicinity	urn-3:FHCL:8822229
43607123	006848674_v002_0021	Zeeland and Vicinity	urn-3:FHCL:8822234
43607128	006848674_v002_0026	Flanders and Vicinity	urn-3:FHCL:8822239
43607133	006848674_v002_0031	Colchester and Vicinity	urn-3:FHCL:8822244
43607140	006848674_v002_0038	English Channel and Celtic Sea	urn-3:FHCL:8822251
43607141	006848674_v002_0039	Eastern English Channel	urn-3:FHCL:8822252
43607146	006848674_v002_0044	Guernsey, Jersey, and Vicinity	urn-3:FHCL:8822257
43607154	006848674_v002_0052	English Channel Between Cornwall and Brest	urn-3:FHCL:8822265
43607169	006848674_v002_0067	Bristol Channel	urn-3:FHCL:8822280
43607172	006848674_v002_0070	Irish Sea	urn-3:FHCL:8822283
43607179	006848674_v002_0077	Northern Ireland and Western Scotland	urn-3:FHCL:8822290
43607182	006848674_v002_0080	Galway and Vicinity	urn-3:FHCL:8822293
43607187	006848674_v002_0085	Southern Ireland	urn-3:FHCL:8822298
43607192	006848674_v002_0090	Bay of Biscay	urn-3:FHCL:8822303
43607193	006848674_v002_0091	Brest and Vicinity	urn-3:FHCL:8822304
43607194	006848674_v002_0092	Concarneau and Vicinity	urn-3:FHCL:8822305
43607197	006848674_v002_0095	Quiberon Bay and Bay of Biscay	urn-3:FHCL:8822308
43607198	006848674_v002_0096	Saint-Nazaire and Vicinity	urn-3:FHCL:8822309
43607201	006848674_v002_0099	La Rochelle and Vicinity	urn-3:FHCL:8822312
43607204	006848674_v002_0102	Garonne River and Bay of Biscay	urn-3:FHCL:8822315
43607205	006848674_v002_0103	Southeastern Bay of Biscay	urn-3:FHCL:8822316
43607210	006848674_v002_0108	Santander and Vicinity	urn-3:FHCL:8822321
43607213	006848674_v002_0111	Southwestern Bay of Biscay	urn-3:FHCL:8822324
43607216	006848674_v002_0114	Vigo and Vicinity	urn-3:FHCL:8822327
43607221	006848674_v002_0119	Aveiro and Vicinity	urn-3:FHCL:8822332
43607224	006848674_v002_0122	Lisbon and Southern Portugal	urn-3:FHCL:8822335
43607227	006848674_v002_0125	Faro and Vicinity	urn-3:FHCL:8822338
43607228	006848674_v002_0126	Strait of Gibraltar	urn-3:FHCL:8822339
43607231	006848674_v002_0129	Northwest Africa and Southwest Europe	urn-3:FHCL:8822342
