"IDENTIFIER","TITLE","PUB_YEAR","AUTHOR_FIRST_NAME","AUTHOR_MIDDLE_NAME","AUTHOR_LAST_NAME","DESCRIPTION","HOLLIS_NO","ICON"
"waghenaer","Du miroir de la navigation",1590,"Lucas","Janszoon","Waghenaer","A general map of Europe's west coast as well as 47 detailed charts, ranging from Cadiz in the south to the White Sea in the North.","007186903","Wa"
"blaeu","The light of navigation",1623,"Willem","Janszoon","Blaeu","Detailed instruction on celestial navigation. 41 charts for orientation to the coasts of the Netherlands, France, Spain, Portugal, the British Isles, Norway, the Baltic Sea, and the North Sea.","001644159","Bl"
"colom","L'ardante ou flamboyante colomne de la mer",1633,"Jacob",,"Colom","42 charts covering the navigation from the White Sea and Galtic to the Straits of Gibraltar.","004937192","Co"
"dudleyV1","Dell' arcano del mare Vol. 1",1646,"Sir Robert",,"Dudley","First printed English atlas of nautical charts covering all parts of the known world. It pioneered in the use of the Mercator projection.","013319662","Du"
"dudleyV3","Dell' arcano del mare Vol. 3",1646,"Sir Robert",,"Dudley","First printed English atlas of nautical charts covering all parts of the known world. It pioneered in the use of the Mercator projection.","013319662","Du"
"dewit","Dutch Sea Atlas",1654,"Frederik",,"DeWit","Small sea atlas, ranging from Spitzbergen in the north to the Cape of Good Hope in the south. It includes coasts of western Europe as well as western and southern Africa, the Caribbean, the east coast of North America, and southeast and east Asia.","002546616","DW"
"goos","Le grand & nouveau miroir ou flambeau de la mer",1662,"Pieter",,"Goos","Reproduced here, the first two parts focus on western and northern navigation, including the British Isles, the Netherlands, France, the Iberian Peninsula, and the Canary Islands.","005633462","Go"
"keulenV1","De nieuwe groote lichtende zee-fakkel Vol. 1",1734,"Gerard","van","Keulen","In its time the most comprehensive pilot book available. The two volumes displayed here focus on the Baltic and the North Sea, the British Isles, the Channel, the Iberian Peninsula, and the Canary Islands.","006848674","Ke"
"keulenV2","De nieuwe groote lichtende zee-fakkel Vol. 2",1734,"Gerard","van","Keulen","In its time the most comprehensive pilot book available. The two volumes displayed here focus on the Baltic and the North Sea, the British Isles, the Channel, the Iberian Peninsula, and the Canary Islands.","006848674","Ke"
"renard","Atlas van zeevaert en koophandel door de geheele weereldt",1745,"Louis",,"Renard","This atlas was intended for actual use at sea as well as armchair consultation. Although it only contains 32 charts, it offers global coverage from pole to pole, including the coasts of Africa, Asia, and the Americas.","006695225","Re"
