DRS_ID	OwnerSuppliedName	Geographic Scope	URN
43374234	006695225_0015	World	
43374234_A	006695225_0015_MAPA	Western Hemisphere	urn-3:FHCL:8654617
43374234_B	006695225_0015_MAPB	Eastern Hemisphere	urn-3:FHCL:8654617
43374241	006695225_0022	Northern Hemisphere	urn-3:FHCL:8654624
43374242	006695225_0023	Southern Hemisphere	urn-3:FHCL:8654625
43374247	006695225_0028	World	urn-3:FHCL:8654630
43374247_A	006695225_0028	Far East and Australia	urn-3:FHCL:8654630
43374247_B	006695225_0028	World	urn-3:FHCL:8654630
43374250	006695225_0031	Europe (inset: Mediterranean)	urn-3:FHCL:8654633
43374250_A	006695225_0031_MAPA	Europe	urn-3:FHCL:8654633
43374250_B	006695225_0031_MAPB	Mediterranean Sea	urn-3:FHCL:8654633
43374253	006695225_0034	White Sea and Barents Sea	urn-3:FHCL:8654636
43374256	006695225_0037	Lapland	urn-3:FHCL:8654639
43374259	006695225_0040	North Sea	urn-3:FHCL:8654642
43374262	006695225_0043	Baltic Sea	urn-3:FHCL:8654645
43374271	006695225_0052	North Sea and Baltic Sea	urn-3:FHCL:8654654
43374272	006695225_0053	Denmark	urn-3:FHCL:8654655
43374277	006695225_0058	United Kingdom	urn-3:FHCL:8654660
43374284	006695225_0065	Shetland Islands	urn-3:FHCL:8654667
43374287	006695225_0068	Southeast England	urn-3:FHCL:8654670
43374292	006695225_0073	English Channel	urn-3:FHCL:8654675
43374295	006695225_0076	Bay of Biscay	urn-3:FHCL:8654678
43374300	006695225_0081	Portugal	urn-3:FHCL:8654683
43374305	006695225_0086	Western Mediterranean	urn-3:FHCL:8654688
43374316	006695225_0097	Eastern Mediterranean	urn-3:FHCL:8654699
43374327	006695225_0108	Black Sea	urn-3:FHCL:8654710
43374334	006695225_0115	Northwest Africa	urn-3:FHCL:8654717
43374339	006695225_0120	Gulf of Guinea	urn-3:FHCL:8654722
43374344	006695225_0125	Cape of Good Hope	urn-3:FHCL:8654727
43374349	006695225_0130	East Africa and Saudi Arabia	urn-3:FHCL:8654732
43374358	006695225_0139	Southeast Asia and Australasia	urn-3:FHCL:8654741
43374376	006695225_0157	Central and South America	urn-3:FHCL:8654759
43374383	006695225_0164	Tierra del Fuego and South America	urn-3:FHCL:8654766
43374386	006695225_0167	Eastern Coast of South America	urn-3:FHCL:8654769
43374389	006695225_0170	North Atlantic Ocean	urn-3:FHCL:8654772
43374396	006695225_0177	Caribbean Sea	urn-3:FHCL:8654779
43374411	006695225_0192	North Atlantic Ocean, Norweigan Sea, Northwest Passages	urn-3:FHCL:8654794
