DRS_ID	OwnerSuppliedName	Geographic Scope	URN
41345604	004937192_METS	XML Mets file	urn-3:FHCL:6750170
41345610	004937192_0006	North Sea	urn-3:FHCL:6750176
41345613	004937192_0009	Netherlands	urn-3:FHCL:6750179
41345620	004937192_0016	Norden, Germany and Vicinity	urn-3:FHCL:6750186
41345627	004937192_0023	Odense and Vicinity	urn-3:FHCL:6750193
41345636	004937192_0032	Southwestern Baltic Sea	urn-3:FHCL:6750202
41345641	004937192_0037	Kattegat	urn-3:FHCL:6750207
41345648	004937192_0044_MAPA	Southwestern Norway	urn-3:FHCL:6750214
41345648	004937192_0044_MAPB	Oslo and Vicinity	urn-3:FHCL:6750214
41345653	004937192_0049_MAPA	Norway, North of Bergen	urn-3:FHCL:6750219
41345653	004937192_0049_MAPB	Norway, South of Bergen	urn-3:FHCL:6750219
41345658	004937192_0054	Trondheim	urn-3:FHCL:6750224
41345663	004937192_0059	Southeast England	urn-3:FHCL:6750229
41345670	004937192_0066_MAPA	Hull and Vicinity	urn-3:FHCL:6750236
41345670	004937192_0066_MAPB	Ediburgh and Vicinity	urn-3:FHCL:6750236
41345677	004937192_0073_MAPA	Hebrides	urn-3:FHCL:6750243
41345677	004937192_0073_MAPB	Shetland Islands	urn-3:FHCL:6750243
41345677	004937192_0073_MAPC	Faroe Islands	urn-3:FHCL:6750243
41345681	004937192_0077	Northwest Coast of Norway	urn-3:FHCL:6750247
41345682	004937192_0078	Barents Sea and White Sea	urn-3:FHCL:6750248
41345684	004937192_0080	Norwegian Sea	urn-3:FHCL:6750250
41345689	004937192_0085_MAPA	Sor-Varanger and Vicinity	urn-3:FHCL:6750255
41345689	004937192_0085_MAPB	Murmansk and Vicinity	urn-3:FHCL:6750255
41345696	004937192_0092	White Sea	urn-3:FHCL:6750262
41345702	004937192_0098	Baltic Sea near Stockholm	urn-3:FHCL:6750268
41345704	004937192_0100	Baltic Sea near Malmo	urn-3:FHCL:6750270
41345711	004937192_0107	Baltic Sea near Gotland	urn-3:FHCL:6750277
41345714	004937192_0110	Gulf of Finland	urn-3:FHCL:6750280
41345723	004937192_0119	Gotland and Vicinity	urn-3:FHCL:6750289
41345731	004937192_0127	North Sea	urn-3:FHCL:6750297
41345733	004937192_0129_MAPA	Northwest Netherlands	urn-3:FHCL:6750299
41345733	004937192_0129_MAPB	Rotterdam and Vicinity	urn-3:FHCL:6750299
41345742	004937192_0138	Southwest Netherlands	urn-3:FHCL:6750308
41345747	004937192_0143	Calais and Vicinity	urn-3:FHCL:6750313
41345753	004937192_0149	United Kingdom and Northern France	urn-3:FHCL:6750319
41345755	004937192_0151_MAPA	Nortwestern France	urn-3:FHCL:6750321
41345755	004937192_0151_MAPB	English Channel	urn-3:FHCL:6750321
41345762	004937192_0158_MAPA	Southern Coast of England	urn-3:FHCL:6750328
41345762	004937192_0158_MAPB	Southampton and Vicinity	urn-3:FHCL:6750328
41345769	004937192_0165	Bristol Channel	urn-3:FHCL:6750335
41345778	004937192_0174_MAPA	St. George's Channel/Irish Sea	urn-3:FHCL:6750344
41345778	004937192_0174_MAPB	Irish Sea/Firth of Clyde	urn-3:FHCL:6750344
41345787	004937192_0183_MAPA	North Coast of Ireland	urn-3:FHCL:6750353
41345787	004937192_0183_MAPB	West Coast of Ireland	urn-3:FHCL:6750353
41345792	004937192_0188_MAPA	South Coast of Ireland	urn-3:FHCL:6750358
41345792	004937192_0188_MAPB	Southwest Coast of Ireland	urn-3:FHCL:6750358
41345800	004937192_0196	Portugal and Spain	urn-3:FHCL:6750366
41345802	004937192_0198_MAPA	Bay of Biscay	urn-3:FHCL:6750368
41345802	004937192_0198_MAPB	Brest and Vicinity	urn-3:FHCL:6750368
41345813	004937192_0209_MAPA	Bay of Biscay/Bayonne	urn-3:FHCL:6750379
41345813	004937192_0209_MAPB	Bay of Biscay/Santander	urn-3:FHCL:6750379
41345813	004937192_0209_MAPC	Bay of Biscay/Ribadeo	urn-3:FHCL:6750379
41345820	004937192_0216_MAPA	Bay of Biscay/Corunna	urn-3:FHCL:6750386
41345820	004937192_0216_MAPB	Portugal	urn-3:FHCL:6750386
41345829	004937192_0225_MAPA	Lisbon and Vicinity	urn-3:FHCL:6750395
41345829	004937192_0225_MAPB	Southwest Portugal	urn-3:FHCL:6750395
41345829	004937192_0225_MAPC	Southern Portugal/Southwest Spain	urn-3:FHCL:6750395
41345834	004937192_0230	Strait of Gibraltar	urn-3:FHCL:6750400
41345839	004937192_0235	North Atlantic Ocean	urn-3:FHCL:6750405
41345840	004937192_0236_MAPA	Western Morocco	urn-3:FHCL:6750406
41345840	004937192_0236_MAPB	Western Morocco/Essouiera	urn-3:FHCL:6750406
41345847	004937192_0243	Canary Islands	urn-3:FHCL:6750413
