DRS_ID	OwnerSuppliedName	Geographic Scope	URN
18833852	G1059_W57_1654_pf_sh1	World	urn-3:FHCL:4455841
18833853	G1059_W57_1654_pf_sh10	Southwestern Africa	urn-3:FHCL:4455842
18833854	G1059_W57_1654_pf_sh11	Southeastern Asia	urn-3:FHCL:4455843
18833855	G1059_W57_1654_pf_sh12	Eastern Brazil	urn-3:FHCL:4455844
18833856	G1059_W57_1654_pf_sh13	Atlantic Ocean	urn-3:FHCL:4455845
18833857	G1059_W57_1654_pf_sh14	Gulf of Mexico and Caribbean	urn-3:FHCL:4455846
18833858	G1059_W57_1654_pf_sh2	North Sea	urn-3:FHCL:4455847
18833859	G1059_W57_1654_pf_sh3	Baltic Sea	urn-3:FHCL:4455848
18833860	G1059_W57_1654_pf_sh4	Spitsbergen	urn-3:FHCL:4455849
18833861	G1059_W57_1654_pf_sh5	Ireland, Scotland, and England	urn-3:FHCL:4455850
18833862	G1059_W57_1654_pf_sh6	Ireland, Scotland, and Western England	urn-3:FHCL:4455851
18833863	G1059_W57_1654_pf_sh7	Western France, Spain, and Portugal	urn-3:FHCL:4455852
18833864	G1059_W57_1654_pf_sh8_MAPA	Western Mediterranean	urn-3:FHCL:4455853
18833864	G1059_W57_1654_pf_sh8_MAPB	Eastern Mediterranean	urn-3:FHCL:4455853
18833865	G1059_W57_1654_pf_sh9	Northwestern Africa	urn-3:FHCL:4455854
18833867	G1059_W57_1654_pf_sh15	Eastern North America	urn-3:FHCL:4455856
