DRS_ID	OwnerSuppliedName	Geographic Scope	URN
44717498	013319662_v1-METS	XML METS filed	urn-3:FHCL:9695784
44717623	013319662_v1_0129	Portugal to Northern Africa	urn-3:FHCL:9695909
44717644	013319662_v1_0153	Philippines and Vicinity	urn-3:FHCL:9695930
44717667	013319662_v1_0179	Pacific Ocean	urn-3:FHCL:9695953
44717670	013319662_v1_0182	Eastern Coast of N. America	urn-3:FHCL:9695956
44717673	013319662_v1_0185	Bay of Biscay	urn-3:FHCL:9695959
44717674	013319662_v1_0186	English Channel	urn-3:FHCL:9695960
44717677	013319662_v1_0189	Northeastern England	urn-3:FHCL:9695963
44717680	013319662_v1_0192	Northern Scandinavia	urn-3:FHCL:9695966
44717681	013319662_v1_0193	Southern Norway	urn-3:FHCL:9695967
44717828	013319662_v1_0132	Atlantic Ocean	urn-3:FHCL:9695771
44717829	013319662_v1_0137	Central America	urn-3:FHCL:9695772
44717830	013319662_v1_0146	Southern South America	urn-3:FHCL:9695773
44717831	013319662_v1_0156	Southern Africa	urn-3:FHCL:9695774
44717832	013319662_v1_0161	Southeast Asia	urn-3:FHCL:9695775
44717833	013319662_v1_0176	Japan	urn-3:FHCL:9695776
