DRS_ID	OwnerSuppliedName	Geographic Scope	URN
38021181	005633462_0047	Scandanavia, Europe, and Western Africa	urn-3:FHCL:5362944
38021182	005633462_0048	North Sea	urn-3:FHCL:5362945
38021183	005633462_0049	Markermeer and Waddenzee	urn-3:FHCL:5362946
38021186	005633462_0052	North Sea and Western Netherlands	urn-3:FHCL:5362949
38021187	005633462_0053_MAPA	Den Helder and Vicinity	urn-3:FHCL:5362950
38021187	005633462_0053_MAPB	Hellevoetsluis and Vicinity	urn-3:FHCL:5362950
38021194	005633462_0060	Zeelandt	urn-3:FHCL:5362957
38021201	005633462_0067	North Sea and Oostende	urn-3:FHCL:5362964
38021206	005633462_0072	Southeastern England	urn-3:FHCL:5362969
38021213	005633462_0079	Hull and Vicinity	urn-3:FHCL:5362976
38021218	005633462_0084	Northeastern United Kingdom	urn-3:FHCL:5362981
38021221	005633462_0087_MAPA	Shetland Islands	urn-3:FHCL:5362984
38021221	005633462_0087_MAPB	Hebrides	urn-3:FHCL:5362984
38021221	005633462_0087_MAPC	Faroe Islands	urn-3:FHCL:5362984
38021226	005633462_0092	United Kingdom	urn-3:FHCL:5362989
38021227	005633462_0093	English Channel	urn-3:FHCL:5362990
38021232	005633462_0098	Guernsey, Jersey, and Vicinity	urn-3:FHCL:5362995
38021241	005633462_0107	Southwestern England	urn-3:FHCL:5363004
38021246	005633462_0112	St. George's Channel	urn-3:FHCL:5363009
38021253	005633462_0119	Dublin and Vicinity	urn-3:FHCL:5363016
38021262	005633462_0128	Firth of Clyde	urn-3:FHCL:5363025
38021267	005633462_0133	Connacht, Ireland	urn-3:FHCL:5363030
38021270	005633462_0136	Southwestern Ireland	urn-3:FHCL:5363033
38021277	005633462_0143	Bay of Biscay and Strait of Gibraltar	urn-3:FHCL:5363040
38021278	005633462_0144	Brest and Vicinity	urn-3:FHCL:5363041
38021285	005633462_0151	Bay of Biscay near La Rochelle	urn-3:FHCL:5363048
38021292	005633462_0158	Bay of Biscay near Bordeaux	urn-3:FHCL:5363055
38021295	005633462_0161_MAPA	Bay of Biscay near Bilbao	urn-3:FHCL:5363058
38021295	005633462_0161_MAPB	Bay of Biscay near Ribadeo	urn-3:FHCL:5363058
38021302	005633462_0168	Corunna, Spain	urn-3:FHCL:5363065
38021309	005633462_0175	Aveiro, Portugal	urn-3:FHCL:5363072
38021312	005633462_0178	Lisbon and Vicinity	urn-3:FHCL:5363075
38021315	005633462_0181	Cape Saint Vincent	urn-3:FHCL:5363078
38021318	005633462_0184	Strait of Gibraltar	urn-3:FHCL:5363081
38021325	005633462_0191	Northwestern Coast of Africa	urn-3:FHCL:5363088
38021326	005633462_0192_MAPA	Western Coast of Morocco	urn-3:FHCL:5363089
38021326	005633462_0192_MAPB	Essaouira	urn-3:FHCL:5363089
38021333	005633462_0199	Canary Islands	urn-3:FHCL:5363096
