DRS_ID	OwnerSuppliedName	Geographic Scope	URN
42668952	006848674_0009	North Sea, Norwegian Sea, Barents Sea	urn-3:FHCL:6712466
42668953	006848674_0010	North Sea	urn-3:FHCL:6712467
42668956	006848674_0013	Amsterdam and Vicinity	urn-3:FHCL:6712470
42668961	006848674_0018	Northern Netherlands	urn-3:FHCL:6712475
42668964	006848674_0021	Northwestern Germany	urn-3:FHCL:6712478
42668967	006848674_0024	Southwestern Denmark	urn-3:FHCL:6712481
42668972	006848674_0029	Skaggerak	urn-3:FHCL:6712486
42668977	006848674_0034	Oslo and Vicinity	urn-3:FHCL:6712491
42668980	006848674_0037	Kattegat	urn-3:FHCL:6712494
42668987	006848674_0044	Copenhagen and Vicinity	urn-3:FHCL:6712501
42668994	006848674_0051	Southeastern Sweden	urn-3:FHCL:6712508
42669001	006848674_0058	Gotland and Vicinity	urn-3:FHCL:6712515
42669006	006848674_0063	Gulf of Riga and Baltic Sea	urn-3:FHCL:6712520
42669011	006848674_0068	Saaremaa and Vicinity	urn-3:FHCL:6712525
42669016	006848674_0073	Gulf of Finland	urn-3:FHCL:6712530
42669020	006848674_0077	Hull and Vicinity	urn-3:FHCL:6712534
42669027	006848674_0084	Northeastern Scotland	urn-3:FHCL:6712541
42669030	006848674_0087	Northern Scotland and Faroe Islands	urn-3:FHCL:6712544
42669035	006848674_0092	Stavanger and Vicinity	urn-3:FHCL:6712549
42669038	006848674_0095	Bergen and Vicinity	urn-3:FHCL:6712552
42669041	006848674_0098	Alesund and Vicinity	urn-3:FHCL:6712555
42669044	006848674_0101	Trondheim and Vicinity	urn-3:FHCL:6712558
42669047	006848674_0104	South of Tromso	urn-3:FHCL:6712561
42669049	006848674_0106	Confluence of Norwegian and Barents Seas	urn-3:FHCL:6712563
42669056	006848674_0113	White Sea	urn-3:FHCL:6712570
42669063	006848674_0120	Southwestern White Sea	urn-3:FHCL:6712577
42669064	006848674_0121	Kara Sea	urn-3:FHCL:6712578
42669067	006848674_0124	North Atlantic	urn-3:FHCL:6712581
42669068	006848674_0125	Iceland	urn-3:FHCL:6712582
42669074	006848674_0131	Spitsbergen	urn-3:FHCL:6712588
